Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/france/lille/roubaix-123456/,france,lille,roubaix-123456
https://www.datacentermap.com/austria/graz/rrz-data-center/,austria,graz,rrz-data-center
https://www.datacentermap.com/france/le-creusot/rubix-datacenter/,france,le-creusot,rubix-datacenter
https://www.datacentermap.com/germany/nuremberg/rz3-rz4/,germany,nuremberg,rz3-rz4
https://www.datacentermap.com/germany/dortmund/rz-dortmund-horde/,germany,dortmund,rz-dortmund-horde
https://www.datacentermap.com/germany/dortmund/rz-huckarde/,germany,dortmund,rz-huckarde
https://www.datacentermap.com/germany/stuttgart/rz-reutlingen-ii/,germany,stuttgart,rz-reutlingen-ii
https://www.datacentermap.com/germany/dortmund/rz-stadtkrone-ost/,germany,dortmund,rz-stadtkrone-ost
https://www.datacentermap.com/germany/dortmund/rzv-dc1/,germany,dortmund,rzv-dc1
https://www.datacentermap.com/germany/dortmund/rzv-dc2/,germany,dortmund,rzv-dc2
https://www.datacentermap.com/bulgaria/sofia/s3-company/,bulgaria,sofia,s3-company
https://www.datacentermap.com/germany/saarlouis/saarlouis-astra/,germany,saarlouis,saarlouis-astra
https://www.datacentermap.com/france/paris/saclay/,france,paris,saclay
https://www.datacentermap.com/czech-republic/prague/safedx-data-center/,czech-republic,prague,safedx-data-center
